id,name,url
WikiMatrix,WikiMatrix,https://object.pouta.csc.fi/OPUS-WikiMatrix/v1/xml/sq.zip
wikimedia,wikimedia,https://object.pouta.csc.fi/OPUS-wikimedia/v20210402/xml/sq.zip
CCAligned,CCAligned,https://object.pouta.csc.fi/OPUS-CCAligned/v1/xml/sq.zip
Tanzil,Tanzil,https://object.pouta.csc.fi/OPUS-Tanzil/v1/xml/sq.zip
SETIMES,SETIMES,https://object.pouta.csc.fi/OPUS-SETIMES/v2/xml/sq.zip
XLEnt,XLEnt,https://object.pouta.csc.fi/OPUS-XLEnt/v1.1/xml/sq.zip
OpenSubtitles,OpenSubtitles,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/xml/sq.zip
QED,QED,https://object.pouta.csc.fi/OPUS-QED/v2.0a/xml/sq.zip
GNOME,GNOME,https://object.pouta.csc.fi/OPUS-GNOME/v1/xml/sq.zip
bible-uedin,bible-uedin,https://object.pouta.csc.fi/OPUS-bible-uedin/v1/xml/sq.zip
TildeMODEL,TildeMODEL,https://object.pouta.csc.fi/OPUS-TildeMODEL/v2018/xml/sq.zip
TED2020,TED2020,https://object.pouta.csc.fi/OPUS-TED2020/v1/xml/sq.zip
Mozilla-I10n,Mozilla-I10n,https://object.pouta.csc.fi/OPUS-Mozilla-I10n/v1/xml/sq.zip
GlobalVoices,GlobalVoices,https://object.pouta.csc.fi/OPUS-GlobalVoices/v2018q4/xml/sq.zip
EUbookshop,EUbookshop,https://object.pouta.csc.fi/OPUS-EUbookshop/v2/xml/sq.zip
ELRC_2922,ELRC_2922,https://object.pouta.csc.fi/OPUS-ELRC_2922/v1/xml/sq.zip
ELRC-3052-wikipedia_health,ELRC-3052-wikipedia_health,https://object.pouta.csc.fi/OPUS-ELRC-3052-wikipedia_health/v1/xml/sq.zip
Tatoeba,Tatoeba v2022-03-03,https://object.pouta.csc.fi/OPUS-Tatoeba/v2022-03-03/xml/sq.zip
Ubuntu,Ubuntu v14.10,https://object.pouta.csc.fi/OPUS-Ubuntu/v14.10/xml/sq.zip
